,sentence,label,filename
0,i.br.,,data\I - PREDMETI IZVRŠENJA\presuda_text_1304.txt
1,"376/07 osnovni sud u nikšiću , sudija bojović andrija, uz sudjelovanje kadić dragice kao zapisničara, u pravnoj stvari izvršnog povjerioca s p.",,data\I - PREDMETI IZVRŠENJA\presuda_text_1304.txt
2,".""…..""",,data\I - PREDMETI IZVRŠENJA\presuda_text_1304.txt
3,"ad b., koju zastupa punomoćnik n.j. advokat iz p., protiv izvršnog dužnika m. ž. iz n radi naplate novčanog potraživanja prodajom nekretnina izvršnog dužnika, dana 26.09.2011.g., donio je zaključak o prodaji određuje se ii-go ročište za prodaju nekretnina izvršnog dužnika, upisanih u listu nepokretnosti br---- ko r-, kat.parcela br.",,data\I - PREDMETI IZVRŠENJA\presuda_text_1304.txt
4,"----, po kulturi livada povr.",,data\I - PREDMETI IZVRŠENJA\presuda_text_1304.txt
5,"1229m2, dvorište 500m2, objekat u izgradnji povr.",,data\I - PREDMETI IZVRŠENJA\presuda_text_1304.txt
6,"64m2 i zgrada poljoprivrede povr.69m2, ili ukupne povr.",,data\I - PREDMETI IZVRŠENJA\presuda_text_1304.txt
7,"1862m2, putem usmenog, javnog nadmetanja, dana 2.11.2011.g.",,data\I - PREDMETI IZVRŠENJA\presuda_text_1304.txt
8,"u 11 časova, kancelarija br.",,data\I - PREDMETI IZVRŠENJA\presuda_text_1304.txt
9,14 ovoga suda.,,data\I - PREDMETI IZVRŠENJA\presuda_text_1304.txt
10,"vrijednost opisanih nepokretnosti iznosi 32.889,00 evra i na ovom ročištu se mogu prodati ispod utvrđene vrijednosti, ali ne ispod 2/3 vrijednosti.",,data\I - PREDMETI IZVRŠENJA\presuda_text_1304.txt
11,"vrijednost nepokretnosti može se ponovo utvrditi na ročištu za prodaju, na predlog stranke koji mora biti podnesen najdocnije 8 dana prije ročišta za prodaju.",,data\I - PREDMETI IZVRŠENJA\presuda_text_1304.txt
12,"lica zainteresovana za učešće na usmenom, javnom nadmetanju, osim izvršnog povjerilaca, dužna su da u depozit suda u gotovom ili na žiro račun br------------ na ime jemstva uplate iznos od 10% utvrđene vrijednosti i da na javnom nadmetanju polože dokaz o tome.",,data\I - PREDMETI IZVRŠENJA\presuda_text_1304.txt
13,"najbolji ponudilac - kupac kome nepokretgnost bude prodata dužan je da utvrđenu cijenu za koju je nepokretnost prodata položi u depozit suda u roku od 15 dana od zaključenja usmenog, javnog nadmetanja.",,data\I - PREDMETI IZVRŠENJA\presuda_text_1304.txt
14,ako kupac u tom roku ne položi cijenu prodaja će se oglasiti nevažećom i odrediti nova prodaja a u tom slučaju će se iz položenog jemstva od strane kupca izmiriti troškovi nove prodaje.,,data\I - PREDMETI IZVRŠENJA\presuda_text_1304.txt
15,zaključak o prodaji objaviti na oglasnoj tabli suda.,,data\I - PREDMETI IZVRŠENJA\presuda_text_1304.txt
16,"osnovni sud u nikšiću , dana 26.09.2011.g.",,data\I - PREDMETI IZVRŠENJA\presuda_text_1304.txt
17,"zapisničar s u d i j a kadić dragica,s.r.",,data\I - PREDMETI IZVRŠENJA\presuda_text_1304.txt
18,"bojović andrija,s.r.",,data\I - PREDMETI IZVRŠENJA\presuda_text_1304.txt
19,d-na 26.09.2011.g.,,data\I - PREDMETI IZVRŠENJA\presuda_text_1304.txt
20,zaključak dostaviti: \- strankama \- u spisima postupljeno: s u d i j a,,data\I - PREDMETI IZVRŠENJA\presuda_text_1304.txt
21,"i br.209/12 osnovni sud u danilovgradu, po sudiji nini radunović, u pravnoj stvari izvršnog povjerioca m.d.",,data\I - PREDMETI IZVRŠENJA\presuda_text_13358.txt
22,"iz d., …bb, protiv izvršnog dužnika j.d.",,data\I - PREDMETI IZVRŠENJA\presuda_text_13358.txt
23,"iz d., …bb, radi predaje djeteta, donio je dana 18.12.2012. godine r j e š e nj e utvrdjuje se da izvršni dužnik ne ispunjava obaveze po rješenju ovog suda i br.201/10 od 09.12.2010. godine, pa mu se izriče novčana kazna u iznosu od 1.000,00 eura.",,data\I - PREDMETI IZVRŠENJA\presuda_text_13358.txt
24,"nalaže se izvršnom dužniku da na osnovu pravosnažne i izvršne presude osnovnog suda u danilovgradu p br.170/10 od 05.10.2010. godine izvršnom povjeriocu dana 21.12.2012. godine u 16,00 časova, u prostorijama centra za socijalni rad danilovgrad u prisustvu socijalnog radnika i sudskog izvršitelja preda izvršnom povjeriocu zajedničko malodobno dijete stranaka j.m., pod prijetnjom izricanja nove novčane kazne u većem iznosu i oduzimanja djeteta radi predaje ocu, uz asistenciju službenika policije.",,data\I - PREDMETI IZVRŠENJA\presuda_text_13358.txt
25,"osnovni sud u danilovgradu dana 18.12.2012. godine s u d i j a, nina radunović s.r.",,data\I - PREDMETI IZVRŠENJA\presuda_text_13358.txt
26,pravna pouka: protiv ovog rješenja može se izjaviti prigovor vijeću ovog suda u roku od 5 dana od dana prijema pismenog otpravka.,,data\I - PREDMETI IZVRŠENJA\presuda_text_13358.txt
27,"i br.192/12 osnovni sud u danilovgradu, po sudiji nini radunović, u pravnoj stvari izvršnog povjerioca r.g.",,data\I - PREDMETI IZVRŠENJA\presuda_text_13359.txt
28,"iz b., …bb, protiv izvršnog dužnika r.k. iz d., … bb, radi naplate novčanog potraživanja, dana 20.12.2012. godine, donio je r j e š e nj e na osnovu izvršne isprave - hipoteke ustanovljene sudskim poravnanjem p br.1024/10/10 od 18.06.2011. godine, zaključenim pred osnovnim sudom u kotoru, odredjuje se izvršenje na nepokretnostima hipotekarnog dužnika r.k., upisanim u listu nepokretnosti br.",,data\I - PREDMETI IZVRŠENJA\presuda_text_13359.txt
29,"246 i 247 ko ćurilac, radi naplate novčanog potraživanja izvršnog povjerioca u iznosu od 35.180,00 eura, upisom rješenja o izvršenju u katastar nepokretnosti, procjenom vrijednosti nepokretnosti, prodajom i namirenjem izvršnog povjerioca iz iznosa dobijenog prodajom.",,data\I - PREDMETI IZVRŠENJA\presuda_text_13359.txt
30,"odbija se predlog za izvršenje u dijelu kojim je izvršni povjerilac tražio izvršenje radi naplate pripadajuće kamate počev od 02.10.2011. godine pa do konačne isplate, kao neosnovan.",,data\I - PREDMETI IZVRŠENJA\presuda_text_13359.txt
31,o b r a z l o ž e nj e izvršni povjerilac je na osnovu poravnanja zaključenog pred osnovnim sudom u kotoru p br.24/10/10 od 18.06.2011. godine tražio izvršenje na nepokretnostima k.r.,,data\I - PREDMETI IZVRŠENJA\presuda_text_13359.txt
32,"na kojim je ustanovljena hipoteka tim poravnanjem, a sve radi namirenja potraživanja u iznosu od 35.180,00 eura sa pripadajućom kamatom od 02.10.2011. godine do konačnog namirenja.",,data\I - PREDMETI IZVRŠENJA\presuda_text_13359.txt
33,"predlog za izvršenje sud je usvojio u dijelu koji se odnosi na glavno potraživanje u iznosu od 35.180,00 eura koje je obezbijedjeno hipotekom, dok je izvršenje radi naplate kamate od 02.10.2011. godine kao dana dospjelosti pa do konačne isplate odbijen, jer kamata nije predvidjena izvršnom ispravom, niti se radi o kamati propisanoj čl.",,data\I - PREDMETI IZVRŠENJA\presuda_text_13359.txt
34,24 zakona o izvršenju i obezbjedjenju.,,data\I - PREDMETI IZVRŠENJA\presuda_text_13359.txt
35,"sa izloženog, primjenom čl.",,data\I - PREDMETI IZVRŠENJA\presuda_text_13359.txt
36,"41 i 42 zakona o izvršenju i obezbjedjenju, odlučeno je kao u izreci.",,data\I - PREDMETI IZVRŠENJA\presuda_text_13359.txt
37,"osnovni sud u danilovgradu dana 20.12.2012. godine s u d i j a, nina radunović s.r.",,data\I - PREDMETI IZVRŠENJA\presuda_text_13359.txt
38,pravna pouka: protiv ovog rješenja može se izjaviti prigovor izvršnom vijeću ovog suda u roku od 5 dana od dana prijema pismenog otpravka.,,data\I - PREDMETI IZVRŠENJA\presuda_text_13359.txt
39,"i.br.21/10 osnovni sud u podgorici , po sudiji mileni matović, u pravnoj stvari izvršnih povjerilaca d.k.",,data\I - PREDMETI IZVRŠENJA\presuda_text_306.txt
40,i đ.đ.,,data\I - PREDMETI IZVRŠENJA\presuda_text_306.txt
41,", koje zastupa punomoćnik o.m., advokat iz p., protiv izvršnog dužnika m.k.",,data\I - PREDMETI IZVRŠENJA\presuda_text_306.txt
42,"iz p. , koga zastupa punomoćnik a.k.",,data\I - PREDMETI IZVRŠENJA\presuda_text_306.txt
43,"iz podgorice, ..., poslije održanog ročišta za diobu dana 07.03.2011. godine, u prisustvu izvršnih povjerilaca, i punomoćnika stranaka, dana 10.03.2011. godine, donio je r j e š e nj e iz iznosa dobijenog prodajom nepokretnosti u susvojini stranaka namiruju se: 1. troškovi izvršnog postupka po rješenju o izvršenju i.br.21/10 od od 20.01.2010.godine od 330,83 eura i troškovi izvršnog postupka po rješenju i.br.6457/10 od 16.11.2010. godine u iznosu od 127,00 eura, odnosno ukupno 457,83 eura.",,data\I - PREDMETI IZVRŠENJA\presuda_text_306.txt
44,"2. troškovi parničnog postupka po rješenju o izvršenju i.br.21/10 od 20.01.2010.godine u iznosu od 99,00 eura i troškovi parničnog postupka po rješenju o izvršenju i.br.6457/10 od 16.11.2010.godine u iznosu od 2.062,50 eura, odnosno ukupno 2.161,15 eura.",,data\I - PREDMETI IZVRŠENJA\presuda_text_306.txt
45,"3. kamata na iznos troškova parničnog postupka u iznosu od 2.062,50 eura počev od 30.03.2007.godine do dana izrade ovog rješenja u iznosu od 565,75 eura.",,data\I - PREDMETI IZVRŠENJA\presuda_text_306.txt
46,4.glavno potraživanje izvršnih povjerilaca d.k.,,data\I - PREDMETI IZVRŠENJA\presuda_text_306.txt
47,i đ.đ.,,data\I - PREDMETI IZVRŠENJA\presuda_text_306.txt
48,"u iznosu od po 13.666,67 eura.",,data\I - PREDMETI IZVRŠENJA\presuda_text_306.txt
49,"ukupno za namirenje 30.518,07 eura.",,data\I - PREDMETI IZVRŠENJA\presuda_text_306.txt
50,"ostatak od 101,84 eura vratiti izvršnom dužniku m.k.",,data\I - PREDMETI IZVRŠENJA\presuda_text_306.txt
51,"iznos od po 13.666,67 eura uplatiti izvršnim povjeriocima d.k.",,data\I - PREDMETI IZVRŠENJA\presuda_text_306.txt
52,na žiro račun broj ... koji se vodi kod crnogorske komercijalne banke ad podgorica i na žiro račun izvršnog povjerioca đ.đ.,,data\I - PREDMETI IZVRŠENJA\presuda_text_306.txt
53,"br... koji se vodi kod iste banke, kao i iznos od po 4,86 eura.",,data\I - PREDMETI IZVRŠENJA\presuda_text_306.txt
54,"-dok je iznos od 3.175,00 eura potrebno uplatiti na žiro račun punomoćnika izvršnih povjerilaca advokata o.m.",,data\I - PREDMETI IZVRŠENJA\presuda_text_306.txt
55,br.... koji se vodi kod podgoričke banke societe generale group ad podgorica.,,data\I - PREDMETI IZVRŠENJA\presuda_text_306.txt
56,"o b r a z l o ž e nj e postupajući po predlogu izvršnih povjerilaca ovaj sud je donio rješenje o izvršenju i.br.21/10 dana 20.01.2010.godine radi diobe zajedničke stvari prodajom nepokretnosti stranaka-stana koji se nalazi u p.-..., na drugom spratu, površine 51 m2 iz lista nepokretnsoti 5717 ko podgorica iii na kat.parceli 4395 koja je upisana kao suvlasništvo stranaka na po 1/3 suvlasničkog dijela.ovo rješenje donijeto je na osnovu rješenja osnovnog suda u podgorici rs.br.118/08 od 06.04.2009.godine, a rješenjem o izvršenju je obavezan izvršni dužnik da izvršnim povjeriocima plati troškove parničnog postupka u iznosu od 99,00 eura i troškove izvršnog postupka u iznosu od 227,50 eura.",,data\I - PREDMETI IZVRŠENJA\presuda_text_306.txt
57,"u toku sprovodjenja izvršenja po ovom rješenju, a prije pristupanja prodaji nepokretnosti, izvršni povjerioci su dana 28.10.2010.godine podnijeli novi predlog za izvršenje sada na osnovu presude osnovnog suda u podgorici p.br.1089/05 od 15.07.2006.godine, a radi naplate novčanog potraživanja u iznosu od 2.062,50 eura po osnovu troškova parničnog postupka sa zakonskom zateznom kamatom počev od 30.03.2007.godine do konačne isplate.",,data\I - PREDMETI IZVRŠENJA\presuda_text_306.txt
58,"izvršenje je dozvoljeno dana 16.11.2010.godine na 1/3 nepokretnosti izvršnog dužnika iz lista nepokretnosti 5717 ko podgorica iii na kat.parceli 4395 na spratu ii, površine 51 m2 i odlučeno da se izvršenje tog rješenja sprovede pristupanjem izvršenju odredjenom rješenjem i.br.21/10 od 20.01.2010.godine.",,data\I - PREDMETI IZVRŠENJA\presuda_text_306.txt
59,"na drugom ročištu za prodaju nepokretnost je dosudjena izvršnom dužniku m.k., koji je u postupku civilne diobe učestvovao u javnom nadmetanju, nakon čega je donijeto rješenje o predaji dana 07.02.2011.godine, koje je postalo pravosnažno 16.02.2011.godine.",,data\I - PREDMETI IZVRŠENJA\presuda_text_306.txt
60,"nakon pravosnažnosti rješenja o predaji sud je zakazao ročište za diobu shodno čl.184 zip-a, na kom su stranke izrazile saglasnost da se namirenje izvrši u skladu sa stanjem u spisima predmeta, te da se kamata na iznos troškova parničnog postupka po rješenju i.br.6457/10 od 16.11.2010.godine izračuna od strane suda po čl.6 zakona o visini stope zatezne kamate, obzirom da predstavlja prostu matematičku operaciju, a kako se ne bi stvarali dodatni troškovi za stranke.",,data\I - PREDMETI IZVRŠENJA\presuda_text_306.txt
61,"takodje su se izvršni povjerioci saglasili da se iznos od 3.175,00 eura od postignute cijene uplati na žiro račun njihovog punomoćnika advokata o.m.",,data\I - PREDMETI IZVRŠENJA\presuda_text_306.txt
62,"obzirom da je nepokretnost stranka na ročištu za prodaju dosudjena izvršnom dužniku za iznos od 41.000,00 eura, to je nesumnjivo da strankama nakon prodaje, a obzirom da su po rješenuj rs.br.118/08 od 06.04.2009.godine imali susvojinu na predmetnoj nepokretnosti od po 1/3 suvlasničkog dijela, pripada iznos od po 13.666,67 eura (3x13.666,67 eura=41.000,00 eura), pa je ovaj dio glavnog potraživanja odredio za namirenje izvršnih povjerilaca.",,data\I - PREDMETI IZVRŠENJA\presuda_text_306.txt
63,"medjutim od iznosa koji bi pripao izvršnog dužniku oduzeti su troškovi parničnog postupka po rješenju o izvršenju i.br.6457/10 od 16.11.2010.godine u iznosu od 2.062,50 eura sa zakonskom zatenom kamatom od 30.03.2007.godine do isplate, troškovi parničnog postupka po rješenju o izvršenju i.br.21/10 od 20.01.2010.godine u iznosu od 99,00 eura, te troškovi izvršnog postupka po rješenjima i.br.21/10 i i.br.6457/10 u iznosima od po 227,50 eura i 127,00 eura, te troškovi vještačenja i izlaska suda na lice mjesta u iznosu od 103,33 eura.",,data\I - PREDMETI IZVRŠENJA\presuda_text_306.txt
64,"naime shodno čl.241 st.2 zip-a sud nalazi da izvršnim povjeriocima pripadaju svi troškvovi po rješenjima o izvršenju i.br.21/10 i i.br.6457/10 u iznosu od 227,50 eura i 127,00 eura, obzirom da se isti odnose na sastav predloga za izvršenje i takse na predlog i odluku, nalazeći da je izvršni dužnik kao suvlasnik predmetne nepokretnosti prouzrokovao ove troškove, obzirom da su izvršni dužnici diobu morali tražiti prinudnim putem, pa je dužan da ih nadoknadi izvršnim povjeriocima kao vlasnicima koji su ih imali.",,data\I - PREDMETI IZVRŠENJA\presuda_text_306.txt
65,"za troškove vještačenja i izlaska suda na lice mjesta u iznosu od 310,00 eura sud nalazi da iste treba da snose sve stranke srazmjerno vrijednostima svojih djelova u zajedničkoj stvari, a shodno čl.241 st.1 zip-a, pa kao su izvršni povjerioci unaprijed platili ove troškove, to je sud odlučio da se iz prodajne cijene izvršni povjerioci namire za iznos od 103,33 eura, koji po svojim suvlasničkom dijelu treba da snosi izvršni dužnik, a koji su izvršni povjerioci prethodno uplatile na račun suda, jer ove troškove shodno navedenoj zakonskoj odredbi treba da snosi svaki vlasnik srazmjerno vrijednosti svojih djelova u zajedničkoj stvari.",,data\I - PREDMETI IZVRŠENJA\presuda_text_306.txt
66,"na osnovu izloženog a shodno čl.184, 185, 240 st.2 i 241 zip-a, odlučeno je kao u izreci rješenja.",,data\I - PREDMETI IZVRŠENJA\presuda_text_306.txt
67,"osnovni sud u podgorici dana, 10.03.2011.godine izvršni sudija milena matović s.r.",,data\I - PREDMETI IZVRŠENJA\presuda_text_306.txt
68,pravna pouka: protiv ovog rješenja može se izjaviti žalba u roku od 5 dana od dana prijema pismenog otpravka istog višem sudu u podgorici a preko ovog suda.,,data\I - PREDMETI IZVRŠENJA\presuda_text_306.txt
69,za tačnost otpravka tvrdi i ovjerava namještenik suda ivanović ivana,,data\I - PREDMETI IZVRŠENJA\presuda_text_306.txt
